model,one_way_cost_bps,classification,status,cagr,annualized_volatility,sharpe,max_drawdown,calmar,worst_complete_calendar_year_return,worst_complete_calendar_year,annual_traded_notional,annual_half_notional_turnover,rotations_excluding_initial_entry,average_number_of_etf_holdings,beta_to_spy,correlation_to_spy,mean_bil_weight,fraction_sessions_any_bil,mean_sector_hhi,maximum_single_sector_weight,mean_xlk_weight
SPY_HOLD,0,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
SPY_HOLD,10,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
SPY_HOLD,20,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
SECTOR_EQUAL,0,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
SECTOR_EQUAL,10,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
SECTOR_EQUAL,20,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
STATIC80,0,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
STATIC80,10,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
STATIC80,20,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
STATIC70,0,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
STATIC70,10,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
STATIC70,20,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
RELATIVE12_1,0,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
RELATIVE12_1,10,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
RELATIVE12_1,20,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
DUAL12_1,0,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
DUAL12_1,10,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
DUAL12_1,20,EXPLORATORY,NOT_RUN_DATA_GATE,,,,,,,,,,,,,,,,,,
