model,cost_bps,defense,spy_dollar_pnl_per_initial_dollar,defensive_dollar_pnl_per_initial_dollar,cost_dollar_pnl_per_initial_dollar,total_dollar_pnl_per_initial_dollar,cagr,matched_exposure_and_cost_zero_defense_cagr,defensive_total_return_cagr_contribution,log_wealth_defensive_total_return_contribution,attribution_note
ABS12,0,BIL,2.139126861,0.05054667709,0,2.189673538,0.116198091,0.112910028,0.003288062967,0.03112842155,"Defensive total return includes yield, price, fund fees and reinvestment; Matched costs and exposures are attribution, not a new tradable strategy."
SMA10,0,BIL,1.366169009,0.0626957207,0,1.428864729,0.0877413183,0.08392053635,0.003820781945,0.03712857576,"Defensive total return includes yield, price, fund fees and reinvestment; Matched costs and exposures are attribution, not a new tradable strategy."
ABS12,10,BIL,2.106852566,0.04983321856,-0.02077683876,2.135908945,0.1144012486,0.1111184788,0.003282769882,0.03112842155,"Defensive total return includes yield, price, fund fees and reinvestment; Matched costs and exposures are attribution, not a new tradable strategy."
SMA10,10,BIL,1.328939905,0.06083177253,-0.06778198662,1.321989691,0.0831122891,0.07930776701,0.003804522094,0.03712857576,"Defensive total return includes yield, price, fund fees and reinvestment; Matched costs and exposures are attribution, not a new tradable strategy."
ABS12,20,BIL,2.075089974,0.04913017414,-0.04116657052,2.083053578,0.1126074007,0.1093299151,0.003277485619,0.03112842155,"Defensive total return includes yield, price, fund fees and reinvestment; Matched costs and exposures are attribution, not a new tradable strategy."
SMA10,20,BIL,1.292970373,0.05902957236,-0.1321805509,1.219819394,0.07850305237,0.0747147206,0.003788331766,0.03712857576,"Defensive total return includes yield, price, fund fees and reinvestment; Matched costs and exposures are attribution, not a new tradable strategy."
ABS12,0,ZERO_CASH,2.091913488,0,0,2.091913488,0.112910028,0.112910028,0,0,"Defensive total return includes yield, price, fund fees and reinvestment; Matched costs and exposures are attribution, not a new tradable strategy."
SMA10,0,ZERO_CASH,1.340338045,0,0,1.340338045,0.08392053635,0.08392053635,0,0,"Defensive total return includes yield, price, fund fees and reinvestment; Matched costs and exposures are attribution, not a new tradable strategy."
ABS12,10,ZERO_CASH,2.07507163,0,-0.01085899313,2.064212637,0.111961226,0.111961226,0,0,"Defensive total return includes yield, price, fund fees and reinvestment; Matched costs and exposures are attribution, not a new tradable strategy."
SMA10,10,ZERO_CASH,1.321376377,0,-0.03425067992,1.287125697,0.08156046598,0.08156046598,0,0,"Defensive total return includes yield, price, fund fees and reinvestment; Matched costs and exposures are attribution, not a new tradable strategy."
ABS12,20,ZERO_CASH,2.058373104,0,-0.02161015991,2.036762944,0.1110133363,0.1110133363,0,0,"Defensive total return includes yield, price, fund fees and reinvestment; Matched costs and exposures are attribution, not a new tradable strategy."
SMA10,20,ZERO_CASH,1.302745733,0,-0.0676203606,1.235125372,0.07920563187,0.07920563187,0,0,"Defensive total return includes yield, price, fund fees and reinvestment; Matched costs and exposures are attribution, not a new tradable strategy."
