model,cost_bps,regime,log_wealth_excess_vs_same_cost_spy,rest_of_sample_log_excess,attribution_not_a_restarted_tradable_path
ABS12,0,2016_2019,-0.18001251910877458,-0.13951930329412227,True
ABS12,0,covid2020,-0.1364572052143415,-0.18307461718855536,True
ABS12,0,2021,0.0,-0.31953182240289685,True
ABS12,0,inflation2022,0.06952232749221132,-0.38905414989510817,True
ABS12,0,2023_2025,-0.07258442557199216,-0.2469473968309047,True
ABS12,0,2026_YTD,0.0,-0.31953182240289685,True
SMA10,0,2016_2019,-0.2748561852693592,-0.3171702510591984,True
SMA10,0,covid2020,0.008001524295954743,-0.6000279606245122,True
SMA10,0,2021,0.0,-0.5920264363285576,True
SMA10,0,inflation2022,-0.035844996001880985,-0.5561814403266766,True
SMA10,0,2023_2025,-0.19727269379410092,-0.3947537425344566,True
SMA10,0,2026_YTD,-0.09205408555917127,-0.4999723507693863,True
ABS12,10,2016_2019,-0.188012521775443,-0.14751930596079074,True
ABS12,10,covid2020,-0.14045720654767568,-0.19507462118855806,True
ABS12,10,2021,0.0,-0.33553182773623375,True
ABS12,10,inflation2022,0.06752232682554424,-0.40305415456177796,True
ABS12,10,2023_2025,-0.0745844262386593,-0.26094740149757445,True
ABS12,10,2026_YTD,0.0,-0.33553182773623375,True
SMA10,10,2016_2019,-0.2908561906026961,-0.3451702603925382,True
SMA10,10,covid2020,0.00400152296262056,-0.6400279739578548,True
SMA10,10,2021,0.0,-0.6360264509952342,True
SMA10,10,inflation2022,-0.04384499866854945,-0.5921814523266848,True
SMA10,10,2023_2025,-0.20927269779410368,-0.42675375320113057,True
SMA10,10,2026_YTD,-0.09605408689250561,-0.5399723641027286,True
ABS12,20,2016_2019,-0.19601254044215954,-0.15551932462750728,True
ABS12,20,covid2020,-0.14445721588103394,-0.2070746491886329,True
ABS12,20,2021,0.0,-0.3515318650696668,True
ABS12,20,inflation2022,0.0655223221588651,-0.41705418722853194,True
ABS12,20,2023_2025,-0.0765844309053384,-0.27494743416432843,True
ABS12,20,2026_YTD,0.0,-0.3515318650696668,True
SMA10,20,2016_2019,-0.3068562279361292,-0.3731703257260456,True
SMA10,20,covid2020,1.513629262372973e-06,-0.6800280672914372,True
SMA10,20,2021,0.0,-0.6800265536621748,True
SMA10,20,inflation2022,-0.051845017335265836,-0.628181536326909,True
SMA10,20,2023_2025,-0.22127272579417842,-0.45875382786799634,True
SMA10,20,2026_YTD,-0.10005409622586385,-0.579972457436311,True
