model,defense,cost_bps,exit_decision,exit_execution,reentry_decision,reentry_execution,end,started_defensive,open_right_censored,defensive_sessions,calendar_months,spy_return_while_defensive,defensive_etf_total_return_same_dates,strategy_net_spell_return,net_relative_wealth_vs_staying_spy,post_exit_spy_low_date,post_exit_spy_loss_to_low,rebound_from_low_to_reentry,whipsaw,short_spell_at_most_3_calendar_months
ABS12,BIL,0,2016-01-29,2016-02-01,2016-03-31,2016-04-01,2016-04-01,False,False,42,1.971252567,0.07296348065,0.0003405917154,0.0003405917154,-0.06768439956,2016-02-11,-0.05541225486,0.1359066282,True,True
ABS12,BIL,0,2018-12-31,2019-01-02,2019-02-28,2019-03-01,2019-03-01,False,False,40,1.905544148,0.1202707609,0.003648421627,0.003648421627,-0.1041019219,2019-01-03,-0.02435069082,0.1482309784,True,True
ABS12,BIL,0,2020-03-31,2020-04-01,2020-04-30,2020-05-01,2020-05-01,False,False,21,0.9856262834,0.1461005887,-9.181283194e-05,-9.181283194e-05,-0.1275563445,2020-04-01,0,0.1461005887,True,True
ABS12,BIL,0,2022-05-31,2022-06-01,2023-04-28,2023-05-01,2023-05-01,False,False,229,10.97330595,0.030763738,0.02761226586,0.02761226586,-0.003057414639,2022-10-12,-0.122384343,0.1745047275,True,False
SMA10,BIL,0,2016-01-29,2016-02-01,2016-03-31,2016-04-01,2016-04-01,False,False,42,1.971252567,0.07296348065,0.0003405917154,0.0003405917154,-0.06768439956,2016-02-11,-0.05541225486,0.1359066282,True,True
SMA10,BIL,0,2018-10-31,2018-11-01,2018-11-30,2018-12-03,2018-12-03,False,False,21,1.051334702,0.02058897649,0.001818663796,0.001818663796,-0.01839164749,2018-11-23,-0.0374673102,0.06031617139,True,True
SMA10,BIL,0,2018-12-31,2019-01-02,2019-02-28,2019-03-01,2019-03-01,False,False,40,1.905544148,0.1202707609,0.003648421627,0.003648421627,-0.1041019219,2019-01-03,-0.02435069082,0.1482309784,True,True
SMA10,BIL,0,2019-05-31,2019-06-03,2019-06-28,2019-07-01,2019-07-01,False,False,20,0.9199178645,0.08122998331,0.001820131368,0.001820131368,-0.07344399727,2019-06-03,0,0.08122998331,True,True
SMA10,BIL,0,2020-02-28,2020-03-02,2020-05-29,2020-06-01,2020-06-01,False,False,63,2.98973306,-0.006390476146,0.001591807229,0.001591807229,0.008033622045,2020-03-23,-0.2739370491,0.3684894989,False,True
SMA10,BIL,0,2022-02-28,2022-03-01,2022-03-31,2022-04-01,2022-04-01,False,False,23,1.018480493,0.05672371874,4.621899675e-05,4.621899675e-05,-0.05363511648,2022-03-08,-0.03115636243,0.09070615501,True,True
SMA10,BIL,0,2022-04-29,2022-05-02,2022-11-30,2022-12-01,2022-12-01,False,False,148,6.997946612,-0.009186436266,0.01010388758,0.01010388758,0.01946917619,2022-10-12,-0.1322801811,0.1418588606,False,False
SMA10,BIL,0,2022-12-30,2023-01-03,2023-01-31,2023-02-01,2023-02-01,False,False,20,0.9527720739,0.07775416251,0.003056706547,0.003056706547,-0.06930843653,2023-01-05,-0.003962922713,0.08204221217,True,True
SMA10,BIL,0,2023-10-31,2023-11-01,2023-11-30,2023-12-01,2023-12-01,False,False,21,0.9856262834,0.08616725161,0.004631574068,0.004631574068,-0.07506733187,2023-11-01,0,0.08616725161,True,True
