model,defense,cost_bps,peak,trough,recovery,spy_drawdown,recovery_censored,strategy_return_peak_to_spy_trough,relative_loss_reduction_at_spy_trough,exit_execution,reentry_execution,spy_return_after_exit_until_trough_or_reentry,spy_rebound_while_defensive_after_trough,full_spy_trough_to_reentry_rebound_not_all_missed,no_defensive_spell_during_episode
ABS12,BIL,0,2018-01-26,2018-02-08,2018-08-06,-0.1007273501,False,-0.1007273501,0,,,,,,True
ABS12,BIL,0,2018-09-20,2018-12-24,2019-04-12,-0.1928663299,False,-0.1928663299,3.330669074e-16,2019-01-02,2019-03-01,,0.1202707609,0.1959572963,False
ABS12,BIL,0,2020-02-19,2020-03-23,2020-08-10,-0.3368469246,False,-0.3368469246,-2.220446049e-16,2020-04-01,2020-05-01,,0.1461005887,0.2652910898,False
ABS12,BIL,0,2022-01-03,2022-10-12,2023-12-13,-0.2447419456,False,-0.1347651195,0.1099768261,2022-06-01,2023-05-01,-0.122384343,0.1745047275,0.1745047275,False
ABS12,BIL,0,2025-02-19,2025-04-08,2025-06-26,-0.1870595745,False,-0.1870595745,-1.110223025e-16,,,,,,True
SMA10,BIL,0,2018-01-26,2018-02-08,2018-08-06,-0.1007273501,False,-0.1007273501,0,,,,,,True
SMA10,BIL,0,2018-09-20,2018-12-24,2019-04-12,-0.1928663299,False,-0.2077108479,-0.01484451794,2018-11-01,2018-12-03,0.02058897649,,,False
SMA10,BIL,0,2018-09-20,2018-12-24,2019-04-12,-0.1928663299,False,-0.2077108479,-0.01484451794,2019-01-02,2019-03-01,,0.1202707609,0.1959572963,False
SMA10,BIL,0,2020-02-19,2020-03-23,2020-08-10,-0.3368469246,False,-0.08499964407,0.2518472806,2020-03-02,2020-06-01,-0.2739370491,0.3684894989,0.3684894989,False
SMA10,BIL,0,2022-01-03,2022-10-12,2023-12-13,-0.2447419456,False,-0.171577474,0.07316447159,2022-03-01,2022-04-01,0.05672371874,,,False
SMA10,BIL,0,2022-01-03,2022-10-12,2023-12-13,-0.2447419456,False,-0.171577474,0.07316447159,2022-05-02,2022-12-01,-0.1322801811,0.1418588606,0.1418588606,False
SMA10,BIL,0,2022-01-03,2022-10-12,2023-12-13,-0.2447419456,False,-0.171577474,0.07316447159,2023-01-03,2023-02-01,,0.07775416251,0.1561898214,False
SMA10,BIL,0,2022-01-03,2022-10-12,2023-12-13,-0.2447419456,False,-0.171577474,0.07316447159,2023-11-01,2023-12-01,,0.08616725161,0.3068732494,False
SMA10,BIL,0,2025-02-19,2025-04-08,2025-06-26,-0.1870595745,False,-0.08084507143,0.1062145031,2025-04-01,2025-06-02,-0.1148599615,0.1929773719,0.1929773719,False
ABS12,BIL,10,2018-01-26,2018-02-08,2018-08-06,-0.1007273501,False,-0.1007273501,0,,,,,,True
ABS12,BIL,10,2018-09-20,2018-12-24,2019-04-12,-0.1928663299,False,-0.1928663299,3.330669074e-16,2019-01-02,2019-03-01,,0.1202707609,0.1959572963,False
ABS12,BIL,10,2020-02-19,2020-03-23,2020-08-10,-0.3368469246,False,-0.3368469246,-2.220446049e-16,2020-04-01,2020-05-01,,0.1461005887,0.2652910898,False
ABS12,BIL,10,2022-01-03,2022-10-12,2023-12-13,-0.2447419456,False,-0.1364938605,0.1082480851,2022-06-01,2023-05-01,-0.122384343,0.1745047275,0.1745047275,False
ABS12,BIL,10,2025-02-19,2025-04-08,2025-06-26,-0.1870595745,False,-0.1870595745,-1.110223025e-16,,,,,,True
SMA10,BIL,10,2018-01-26,2018-02-08,2018-08-06,-0.1007273501,False,-0.1007273501,0,,,,,,True
SMA10,BIL,10,2018-09-20,2018-12-24,2019-04-12,-0.1928663299,False,-0.2108736757,-0.01800734573,2018-11-01,2018-12-03,0.02058897649,,,False
SMA10,BIL,10,2018-09-20,2018-12-24,2019-04-12,-0.1928663299,False,-0.2108736757,-0.01800734573,2019-01-02,2019-03-01,,0.1202707609,0.1959572963,False
SMA10,BIL,10,2020-02-19,2020-03-23,2020-08-10,-0.3368469246,False,-0.08682781661,0.250019108,2020-03-02,2020-06-01,-0.2739370491,0.3684894989,0.3684894989,False
SMA10,BIL,10,2022-01-03,2022-10-12,2023-12-13,-0.2447419456,False,-0.176533129,0.06820881661,2022-03-01,2022-04-01,0.05672371874,,,False
SMA10,BIL,10,2022-01-03,2022-10-12,2023-12-13,-0.2447419456,False,-0.176533129,0.06820881661,2022-05-02,2022-12-01,-0.1322801811,0.1418588606,0.1418588606,False
SMA10,BIL,10,2022-01-03,2022-10-12,2023-12-13,-0.2447419456,False,-0.176533129,0.06820881661,2023-01-03,2023-02-01,,0.07775416251,0.1561898214,False
SMA10,BIL,10,2022-01-03,2022-10-12,2023-12-13,-0.2447419456,False,-0.176533129,0.06820881661,2023-11-01,2023-12-01,,0.08616725161,0.3068732494,False
SMA10,BIL,10,2025-02-19,2025-04-08,2025-06-26,-0.1870595745,False,-0.08268154481,0.1043780297,2025-04-01,2025-06-02,-0.1148599615,0.1929773719,0.1929773719,False
ABS12,BIL,20,2018-01-26,2018-02-08,2018-08-06,-0.1007273501,False,-0.1007273501,0,,,,,,True
ABS12,BIL,20,2018-09-20,2018-12-24,2019-04-12,-0.1928663299,False,-0.1928663299,3.330669074e-16,2019-01-02,2019-03-01,,0.1202707609,0.1959572963,False
