symbol,period,end,reconstructed_return,issuer_nav_return,difference_bps,within_2bps
SPY,qtd,2026-06-30,0.151661013737,0.1517,-0.389862630724,True
SPY,ytd,2026-06-30,0.101343829383,0.1013,0.438293827826,True
SPY,1y,2026-06-30,0.221526727302,0.2215,0.267273020565,True
SPY,3y,2026-06-30,0.204632164308,0.2046,0.321643083036,True
SPY,5y,2026-06-30,0.132700462887,0.1326,1.00462886826,True
SPY,10y,2026-06-30,0.15353692377,0.1535,0.369237699202,True
BIL,qtd,2026-06-30,0.00883036618297,0.0088,0.303661829709,True
BIL,ytd,2026-06-30,0.0173990263199,0.0174,-0.00973680053168,True
BIL,1y,2026-06-30,0.0382799272525,0.0383,-0.200727475395,True
BIL,3y,2026-06-30,0.0459402307395,0.0459,0.402307394659,True
BIL,5y,2026-06-30,0.0345856392967,0.0346,-0.143607032657,True
BIL,10y,2026-06-30,0.0220482710919,0.022,0.482710919414,True
