model,defense,one_way_cost_bps,start,end,observations,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,beta,correlation,excess_cagr,annualized_mean_excess_vs_benchmark,monthly_positive_rate,worst_year,worst_year_return,best_year,best_year_return,sharpe_zero_rf,annual_traded_notional,annual_one_way_equivalent_turnover,annual_cost_fraction,equity_state_switches_excluding_initial,initial_equity_entry,fraction_sessions_with_equity,fraction_sessions_fully_equity,mean_equity_weight_earning_returns,mean_defensive_weight_earning_returns,classification,max_drawdown_peak,max_drawdown_trough
SPY,BIL,0,2016-01-04,2026-07-31,2659,0.1505167272,0.1784799304,0.7476207582,1.048907851,-0.3368469246,0.4468401406,1,1,0,0,0.7007874016,2022,-0.1813934928,2019,0.3119342131,0.8753077667,0.09477247085,0.04738623543,0,0,1,0.9996239188,0.9996239188,0.9996239188,0.0003760812335,EXPLORATORY_NAV_PROXY_NOT_EXECUTABLE_CLOSE,2020-02-19 00:00:00,2020-03-23 00:00:00
DEFENSIVE,BIL,0,2016-01-04,2026-07-31,2659,0.02126181987,0.001706743592,-1.387307364,-2.220042853,-0.001580556619,13.45210896,-2.341176342e-05,-0.005166311578,-0.1292549073,-0.1351835943,0.8188976378,2021,-0.0009775058699,2024,0.05195214402,12.32831635,0.09477247085,0.04738623543,0,0,0,0,0,0,1,EXPLORATORY_NAV_PROXY_NOT_EXECUTABLE_CLOSE,2020-03-26 00:00:00,2022-02-10 00:00:00
STATIC80,BIL,0,2016-01-04,2026-07-31,2659,0.1258000641,0.1414560818,0.7476584162,1.046361239,-0.2732915963,0.4603144253,0.7924236881,0.9998191926,-0.02471666309,-0.02767496277,0.7086614173,2022,-0.1426574907,2019,0.2497265216,0.9087619626,0.2325287912,0.1162643956,0,0,1,0.9996239188,0,0.8003463939,0.1996536061,EXPLORATORY_NAV_PROXY_NOT_EXECUTABLE_CLOSE,2020-02-19 00:00:00,2020-03-23 00:00:00
STATIC70,BIL,0,2016-01-04,2026-07-31,2659,0.1131945668,0.1232479249,0.7470961859,1.044434266,-0.2407305144,0.4702127901,0.6902792374,0.9996048523,-0.03732216034,-0.04135815061,0.7165354331,2022,-0.1231912081,2019,0.219365538,0.9319971817,0.2756354496,0.1378177248,0,0,1,0.9996239188,0,0.7006141428,0.2993858572,EXPLORATORY_NAV_PROXY_NOT_EXECUTABLE_CLOSE,2020-02-19 00:00:00,2020-03-23 00:00:00
ABS12,BIL,0,2016-01-04,2026-07-31,2659,0.116198091,0.1612022804,0.6217297031,0.8532719947,-0.3368469246,0.3449581472,0.8153474721,0.9027762503,-0.03431863617,-0.03321810864,0.7165354331,2022,-0.122457102,2021,0.2851540647,0.7630584399,1.611132005,0.8055660023,0,8,1,0.8747649492,0.8747649492,0.8747649492,0.1252350508,EXPLORATORY_NAV_PROXY_NOT_EXECUTABLE_CLOSE,2020-02-19 00:00:00,2020-03-23 00:00:00
SMA10,BIL,0,2016-01-04,2026-07-31,2659,0.0877413183,0.1256281442,0.5511930393,0.7473624146,-0.264408945,0.3318394478,0.494881193,0.7030262468,-0.06277540887,-0.0641912031,0.6929133858,2022,-0.2102167686,2021,0.2851540647,0.7325879625,4.264761188,2.132380594,0,22,1,0.8262504701,0.8262504701,0.8262504701,0.1737495299,EXPLORATORY_NAV_PROXY_NOT_EXECUTABLE_CLOSE,2022-01-03 00:00:00,2023-03-13 00:00:00
SPY,BIL,10,2016-01-04,2026-07-31,2659,0.1504077495,0.1784805243,0.7470880306,1.04816058,-0.3368469246,0.4465166178,1.000001574,0.9999985154,-0.0001089776691,-9.467779306e-05,0.7007874016,2022,-0.1813934928,2019,0.3119342131,0.8747743882,0.09467779306,0.04733889653,9.467779306e-05,0,1,0.9996239188,0.9996239188,0.9996239188,0.0003760812335,EXPLORATORY_NAV_PROXY_NOT_EXECUTABLE_CLOSE,2020-02-19 00:00:00,2020-03-23 00:00:00
DEFENSIVE,BIL,10,2016-01-04,2026-07-31,2659,0.0211650853,0.001738785062,-1.421272358,-2.179294035,-0.001580556619,13.39090612,-2.183748147e-05,-0.0048819073,-0.1293516419,-0.1352782721,0.8188976378,2021,-0.0009775058699,2024,0.05195214402,12.0466857,0.09467779306,0.04733889653,9.467779306e-05,0,0,0,0,0,1,EXPLORATORY_NAV_PROXY_NOT_EXECUTABLE_CLOSE,2020-03-26 00:00:00,2022-02-10 00:00:00
STATIC80,BIL,10,2016-01-04,2026-07-31,2659,0.1255383412,0.1414569845,0.7460106287,1.044005458,-0.273303215,0.4593372281,0.7924266716,0.9998169382,-0.02497838597,-0.02790743979,0.7086614173,2022,-0.1428443331,2019,0.2495328684,0.9071127165,0.2324555586,0.1162277793,0.0002324770172,0,1,0.9996239188,0,0.8003463939,0.1996536061,EXPLORATORY_NAV_PROXY_NOT_EXECUTABLE_CLOSE,2020-02-19 00:00:00,2020-03-23 00:00:00
STATIC70,BIL,10,2016-01-04,2026-07-31,2659,0.112887802,0.1232489188,0.7448546635,1.041226044,-0.2407463711,0.4689075953,0.6902825224,0.9996019712,-0.03762892521,-0.04163374555,0.7165354331,2022,-0.1234416591,2019,0.2191176116,0.9297535819,0.2755599692,0.1377799846,0.0002755949387,0,1,0.9996239188,0,0.7006141428,0.2993858572,EXPLORATORY_NAV_PROXY_NOT_EXECUTABLE_CLOSE,2020-02-19 00:00:00,2020-03-23 00:00:00
