name,regime,start,end,cagr,return,max_drawdown,daily_arithmetic_mean_excess_vs_spy
SPY_BIL_0bps,2016_2019,2016-01-04,2019-12-31,0.1473251382,0.7309014202,-0.1928663299,0
SPY_BIL_0bps,covid2020,2020-01-02,2020-12-31,0.1814134304,0.1821952575,-0.3368469246,0
SPY_BIL_0bps,2021,2021-01-04,2021-12-31,0.2851540647,0.2851540647,-0.05112956347,0
SPY_BIL_0bps,inflation2022,2022-01-03,2022-12-30,-0.1820460037,-0.1813934928,-0.2447419456,0
SPY_BIL_0bps,2023_2025,2023-01-03,2025-12-31,0.2296570958,0.8532197403,-0.1870595745,0
SPY_BIL_0bps,2026_YTD,2026-01-02,2026-07-31,0.181122551,0.1005208916,-0.08882821034,0
DEFENSIVE_BIL_0bps,2016_2019,2016-01-04,2019-12-31,0.01140531467,0.04631351847,-0.0002529502665,-0.1343230114
DEFENSIVE_BIL_0bps,covid2020,2020-01-02,2020-12-31,0.003914172029,0.003929734937,-0.0004044814994,-0.2219387397
DEFENSIVE_BIL_0bps,2021,2021-01-04,2021-12-31,-0.0009775058699,-0.0009775058699,-0.0009775058699,-0.2604794629
DEFENSIVE_BIL_0bps,inflation2022,2022-01-03,2022-12-30,0.01364522584,0.01359071182,-0.000291761423,0.185494725
DEFENSIVE_BIL_0bps,2023_2025,2023-01-03,2025-12-31,0.04793658371,0.1499586597,-0.0002869999127,-0.1712140436
DEFENSIVE_BIL_0bps,2026_YTD,2026-01-02,2026-07-31,0.03636340295,0.02076458716,0,-0.1402697738
STATIC80_BIL_0bps,2016_2019,2016-01-04,2019-12-31,0.1201160218,0.5727549507,-0.154281173,-0.02700948427
STATIC80_BIL_0bps,covid2020,2020-01-02,2020-12-31,0.1527788157,0.1534293832,-0.2732915963,-0.04739307523
STATIC80_BIL_0bps,2021,2021-01-04,2021-12-31,0.2234003911,0.2234003911,-0.04102161254,-0.05232940358
STATIC80_BIL_0bps,inflation2022,2022-01-03,2022-12-30,-0.1431830676,-0.1426574907,-0.1979754578,0.0358310544
STATIC80_BIL_0bps,2023_2025,2023-01-03,2025-12-31,0.1924296808,0.6907722602,-0.1505919847,-0.03485978825
STATIC80_BIL_0bps,2026_YTD,2026-01-02,2026-07-31,0.1528225016,0.08527029142,-0.07007661743,-0.02770869649
