model,defense,cost_bps,completed_defensive_spells,whipsaw_spells,short_whipsaw_spells,defensive_sessions,total_log_relative_wealth,whipsaw_log_relative_wealth,other_spells_log_relative_wealth,relative_terminal_wealth_vs_spy,spell_accounting_residual
ABS12,BIL,0,4,4,3,332,-0.3195318224028969,-0.31953182240289696,0.0,-0.2735109166201732,5.551115123125783e-17
ABS12,BIL,10,4,4,3,332,-0.3355318277362338,-0.3355318277362339,0.0,-0.285042249137101,1.1102230246251565e-16
ABS12,BIL,20,4,4,3,332,-0.3515318650696666,-0.3515318650696666,0.0,-0.2963905709586968,0.0
ABS12,ZERO_CASH,0,4,4,3,332,-0.35066024395771445,-0.35066024395771384,0.0,-0.2957770227738442,-6.106226635438361e-16
ABS12,ZERO_CASH,10,4,4,3,332,-0.3586602466243827,-0.3586602466243819,0.0,-0.30138833329304643,-7.771561172376096e-16
ABS12,ZERO_CASH,20,4,4,3,332,-0.3666602652910991,-0.3666602652910988,0.0,-0.3069549434860661,-2.7755575615628914e-16
SMA10,BIL,0,11,9,9,461,-0.5920264363285577,-0.619310036955067,0.02728360062650965,-0.4467948868245714,-3.3306690738754696e-16
SMA10,BIL,10,11,9,9,461,-0.6360264509952341,-0.655310048955075,0.019283597959840828,-0.47060818541686744,1.1102230246251565e-16
SMA10,BIL,20,11,9,9,461,-0.6800265536621748,-0.6913101329552993,0.0112835792931248,-0.4933964599922722,-3.3306690738754696e-16
SMA10,ZERO_CASH,0,11,9,9,461,-0.6291550120885205,-0.644794886519565,0.015639874431043532,-0.46695797516944315,8.881784197001252e-16
SMA10,ZERO_CASH,10,11,9,9,461,-0.6511550194218578,-0.662794892519568,0.011639873097709514,-0.4785568481615017,7.771561172376096e-16
SMA10,ZERO_CASH,20,11,9,9,461,-0.6731550707553284,-0.6807949345196813,0.007639863764350916,-0.4899033547646954,1.7763568394002505e-15
