name,family,dataset,scenario,benchmark,parameter,timing,data_quality,tradable_holdings_known,period,start,end,observations,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,beta,correlation,excess_cagr,annualized_mean_excess_vs_benchmark,monthly_positive_rate,worst_year,worst_year_return,best_year,best_year_return,annual_traded_notional,annual_one_way_equivalent_turnover,annual_transaction_cost_fraction,mean_invested_fraction,mean_holdings,completed_holding_spells,censored_open_spells,left_censored_spells,mean_completed_holding_months,assumed_annual_internal_drag
long_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_quality,provider PIT convention; revised vintage,EXPLORATORY,False,full,1964-01-31,2026-07-31,751,0.1139552,0.1517356,0.50127216,0.75138172,-0.48195303,0.23644461,0.95378388,0.97056273,0.0070296406,0.0059131997,0.62450067,1974,-0.31733869,1991,0.42424033,,,,1,,,,,,0.005
long_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_quality,provider PIT convention; revised vintage,EXPLORATORY,False,pre2000,1964-01-31,1999-12-31,432,0.12685234,0.15654229,0.44795697,0.6674356,-0.48195303,0.26320477,1.0001342,0.97592185,0.0022928749,0.0026031256,0.61111111,1974,-0.31733869,1991,0.42424033,,,,1,,,,,,0.005
long_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_quality,provider PIT convention; revised vintage,EXPLORATORY,False,2000_2007,2000-01-31,2007-12-31,96,0.03049391,0.12281202,0.045921071,0.063315245,-0.35990641,0.084727334,0.8029002,0.93861986,0.010450772,0.0074048985,0.59375,2002,-0.19177806,2003,0.21912172,,,,1,,,,,,0.005
long_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_quality,provider PIT convention; revised vintage,EXPLORATORY,False,2008_2009,2008-01-31,2009-12-31,24,-0.049093565,0.20322983,-0.1868109,-0.23586683,-0.3943626,-0.12448839,0.8391594,0.98440804,0.049157741,0.044985154,0.58333333,2008,-0.28907902,2009,0.27190374,,,,1,,,,,,0.005
long_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_quality,provider PIT convention; revised vintage,EXPLORATORY,False,2010_2019,2010-01-31,2019-12-31,120,0.14090285,0.12393906,1.0896964,1.8062785,-0.14370286,0.98051528,0.93654145,0.97888932,0.0060319617,0.004664391,0.7,2018,-0.022698265,2019,0.34297615,,,,1,,,,,,0.005
long_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_quality,provider PIT convention; revised vintage,EXPLORATORY,False,2020_onward,2020-01-31,2026-07-31,79,0.16343422,0.17437385,0.80206497,1.3312966,-0.25127557,0.65041827,0.96035238,0.97063013,0.014426413,0.012228125,0.63291139,2022,-0.18490749,2023,0.31614688,,,,1,,,,,,0.005
long_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_quality,provider PIT convention; revised vintage,EXPLORATORY,False,dotcom,2000-01-31,2002-12-31,36,-0.10897317,0.16733417,-0.82741856,-1.0138947,-0.35990641,-0.30278196,0.7959905,0.92745431,0.039590121,0.039939472,0.41666667,2002,-0.19177806,2000,-0.059075444,,,,1,,,,,,0.005
long_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_quality,provider PIT convention; revised vintage,EXPLORATORY,False,gfc,2008-01-31,2008-12-31,12,-0.28907902,0.19256057,-1.7379451,-1.6719913,-0.30303243,-0.95395409,0.86888364,0.983207,0.078115201,0.10734146,0.33333333,2008,-0.28907902,2008,-0.28907902,,,,1,,,,,,0.005
long_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_quality,provider PIT convention; revised vintage,EXPLORATORY,False,rebound2009,2009-01-31,2009-12-31,12,0.27190374,0.18477016,1.3961966,2.3277418,-0.14656973,1.8551152,0.81677206,0.9798171,-0.013088811,-0.017371148,0.83333333,2009,0.27190374,2009,0.27190374,,,,1,,,,,,0.005
long_quality_drag0.005,academic long leg,"French portfolio, not ETF",base,"French market, not SPY",long_quality,provider PIT convention; revised vintage,EXPLORATORY,False,covid2020,2020-01-31,2020-12-31,12,0.28506175,0.2585162,1.0755744,1.9805372,-0.17222297,1.65519,0.92372774,0.98410216,0.045640479,0.032338343,0.66666667,2020,0.28506175,2020,0.28506175,,,,1,,,,,,0.005
