year,rule,log_wealth_excess
1964,sma10,0.0
1964,absolute12,0.0
1965,sma10,-0.05579256220718335
1965,absolute12,0.0
1966,sma10,0.05671553360090744
1966,absolute12,-0.05290254044798035
1967,sma10,-0.08600248247396874
1967,absolute12,-0.16285423504992907
1968,sma10,-0.10928420255858924
1968,absolute12,0.0
1969,sma10,-0.015124926345524325
1969,absolute12,0.0002102775551082632
1970,sma10,0.16311487950643802
1970,absolute12,0.0632331786908531
1971,sma10,-0.0836349501655623
1971,absolute12,-0.061284280036560064
1972,sma10,-0.024746683155418607
1972,absolute12,0.0
1973,sma10,0.05506946564172176
1973,absolute12,0.09798485685550029
1974,sma10,0.4038463344942195
1974,absolute12,0.4038463344942195
1975,sma10,-0.18165250665046528
1975,absolute12,-0.29918196651865037
1976,sma10,0.0
1976,absolute12,0.0
1977,sma10,-0.012757110542959655
1977,absolute12,-0.003599856479077016
1978,sma10,-0.1309412734179838
1978,absolute12,-0.10741268917578731
1979,sma10,0.0
1979,absolute12,0.0
1980,sma10,-0.05177832150706321
1980,absolute12,0.0
1981,sma10,-0.04465325971688262
1981,absolute12,-0.03450335286006231
1982,sma10,0.030347732199714376
1982,absolute12,0.06349951878660476
1983,sma10,0.0
1983,absolute12,0.0
1984,sma10,-0.02009392780325978
1984,absolute12,-0.08015426588647882
1985,sma10,0.0
1985,absolute12,0.0
1986,sma10,-0.012503781188577026
1986,absolute12,0.0
1987,sma10,-0.10974852201096985
1987,absolute12,-0.0005001250416822312
1988,sma10,-0.10159177191707269
1988,absolute12,-0.043493707691568385
1989,sma10,0.0
1989,absolute12,0.0
1990,sma10,-0.04132154915573018
1990,absolute12,-0.06638146821691845
1991,sma10,-0.11504705623859574
1991,absolute12,-0.11504705623859574
1992,sma10,0.0
1992,absolute12,0.0
1993,sma10,0.0
1993,absolute12,0.0
1994,sma10,-0.020099038524765085
1994,absolute12,0.0
1995,sma10,-0.018182462747426412
1995,absolute12,-0.05791586699595511
1996,sma10,0.0
1996,absolute12,0.0
1997,sma10,0.0
1997,absolute12,0.0
1998,sma10,-0.1268490211985559
1998,absolute12,0.0
1999,sma10,-0.03432981517449996
1999,absolute12,0.0
2000,sma10,0.01198494959783006
2000,absolute12,-0.0005001250416823214
2001,sma10,0.1573344866755267
2001,absolute12,0.1573344866755267
2002,sma10,0.21559115896467962
2002,absolute12,0.2399125973261857
2003,sma10,-0.10318182451840323
2003,absolute12,-0.14011798305080636
2004,sma10,-0.030774035115587167
2004,absolute12,0.0
2005,sma10,0.0
2005,absolute12,0.0
2006,sma10,0.0
2006,absolute12,0.0
2007,sma10,0.0
2007,absolute12,0.0
2008,sma10,0.40754499542259826
2008,absolute12,0.37611554331088304
2009,sma10,-0.046810348971249895
2009,absolute12,-0.22282378044526208
2010,sma10,0.009175706865277473
2010,absolute12,0.0
2011,sma10,-0.11234694097519708
2011,absolute12,0.0
2012,sma10,-0.09285040828328664
2012,absolute12,-0.008785583434229652
2013,sma10,0.0
2013,absolute12,0.0
2014,sma10,0.0
2014,absolute12,0.0
2015,sma10,-0.08116060949179925
2015,absolute12,-0.006600441523832155
2016,sma10,-0.07648509656555669
2016,absolute12,-0.13289615178932146
2017,sma10,0.0
2017,absolute12,0.0
2018,sma10,0.09925614149588625
2018,absolute12,0.0
2019,sma10,-0.058439870502417814
2019,absolute12,-0.04532131835118199
2020,sma10,-0.2066642712285742
2020,absolute12,-0.07923432595741306
2021,sma10,0.0
2021,absolute12,0.0
2022,sma10,0.1492784249689079
2022,absolute12,0.0776322504538641
2023,sma10,-0.0230491127443016
2023,absolute12,-0.07187932681511576
2024,sma10,0.0
2024,absolute12,0.0
2025,sma10,-0.10675059315793942
2025,absolute12,0.0
2026,sma10,-0.048704630462802045
2026,absolute12,0.0
