universe,period,variants,cagr_min,cagr_median,cagr_max,sharpe_median,maxdd_min,maxdd_median,maxdd_max
SPY,2000_2007,8,0.053929999,0.083018866,0.091517573,0.56649541,-0.13109687,-0.099245901,-0.099245901
SPY,2008_2009,8,0.020510012,0.07070187,0.10895365,0.64116593,-0.10594353,-0.097765466,-0.056744723
SPY,2010_2019,8,0.040677832,0.082520367,0.11162731,0.6310303,-0.2571913,-0.19420935,-0.14792016
SPY,dotcom,8,-0.036113988,0.0051174836,0.031543142,-0.69363168,-0.12745512,-0.067667986,0
SPY,full,8,0.064301876,0.07862541,0.087335916,0.57729996,-0.2571913,-0.19420935,-0.15031954
SPY,gfc,8,-0.056106437,-0.029639502,0.01900265,-0.70022408,-0.10594353,-0.097765466,0
SPY,rebound2009,8,0.073465948,0.15845112,0.28743826,1.397857,-0.069658612,-0.056744723,-0.01715463
SPY_AGG,2008_2009,8,0.02170146,0.047468312,0.074223723,0.7619114,-0.064467785,-0.051350008,-0.02766691
SPY_AGG,2010_2019,8,0.039980767,0.058294775,0.073281304,0.89473424,-0.10049272,-0.080791064,-0.078280858
SPY_AGG,full,8,0.033823309,0.054883297,0.062968299,0.79659045,-0.10049272,-0.080791064,-0.078280858
SPY_AGG,gfc,8,-0.031196422,-0.0015999481,0.029163505,-0.48877218,-0.064467785,-0.046912863,-0.018910426
SPY_AGG,rebound2009,8,0.051827368,0.09306013,0.15364521,1.5185845,-0.040285844,-0.02766691,-0.02163168
market,2000_2007,8,0.032831354,0.053489859,0.071758324,0.26900475,-0.16575734,-0.1647542,-0.096043977
market,2008_2009,8,-0.026418293,0.043841458,0.11612735,0.40566875,-0.10137103,-0.075671719,-0.025381262
market,2010_2019,8,0.082797942,0.099915961,0.1142477,0.86840376,-0.21128053,-0.17692035,-0.16107943
market,2020_onward,8,0.096903579,0.10955718,0.13682368,0.62576531,-0.2029312,-0.20261224,-0.20229328
market,2023_2025,8,0.1436742,0.17691157,0.20117477,1.0493686,-0.091891055,-0.091436773,-0.091436773
market,covid2020,8,0.0055044923,0.0080122071,0.1450064,0.1250542,-0.2029312,-0.20261224,-0.20229328
market,dotcom,8,-0.041847972,-0.030050084,0.0054604875,-0.57402846,-0.16575734,-0.16313506,-0.096043977
market,full,8,0.090209112,0.097647251,0.10412152,0.47631038,-0.30278538,-0.29905344,-0.29870279
market,gfc,8,-0.078245344,-0.063530189,0.015912653,-1.3917143,-0.089595808,-0.075671719,0
market,inflation2022,8,-0.13538613,-0.071166789,-0.046449162,-1.315931,-0.14713661,-0.083606844,-0.083148418
market,pre2000,8,0.09587938,0.10772961,0.11578202,0.39005837,-0.30278538,-0.29905344,-0.29870279
market,rebound2009,8,0.028322813,0.16394017,0.23127471,1.6632748,-0.025770915,-0.025381262,-0.00049975013
stocks,2000_2007,96,0.11900074,0.149547,0.23553068,0.82337916,-0.21666043,-0.12218202,-0.08687957
stocks,2008_2009,96,-0.20010761,-0.10967178,-0.036342019,-0.26694,-0.53564313,-0.45773704,-0.42550241
stocks,2010_2019,96,0.050729562,0.11972083,0.15247905,0.66902669,-0.23313894,-0.18556841,-0.15944811
stocks,full,96,0.041729165,0.079385723,0.12102071,0.39010028,-0.54892868,-0.46771764,-0.43216402
stocks,gfc,96,-0.36779443,-0.28459922,-0.23991534,-0.78795321,-0.44850266,-0.38537966,-0.34501809
stocks,rebound2009,96,-0.027165016,0.12068055,0.24521746,0.62519341,-0.317156,-0.2614806,-0.21138217
