seed,start,end,observations,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,beta,correlation,excess_cagr,annualized_mean_excess_vs_benchmark,monthly_positive_rate,worst_year,worst_year_return,best_year,best_year_return
0,2004-01-05,2012-08-31,2183,0.0949993155,0.223267229,0.438852244,0.632697965,-0.447136751,0.212461434,0.998389595,0.956628414,0.0468020213,0.045720608,0.615384615,2008,-0.255587615,2009,0.286765863
1,2004-01-05,2012-08-31,2183,0.0627206286,0.223825365,0.304644512,0.436749059,-0.516108203,0.121526122,0.995477015,0.951452794,0.0145233344,0.0159269368,0.634615385,2008,-0.315743867,2009,0.302358181
2,2004-01-05,2012-08-31,2183,0.0801402528,0.215404628,0.383601825,0.547786341,-0.517234183,0.154939978,0.958134895,0.951555001,0.0319429586,0.0303699001,0.596153846,2008,-0.34907847,2009,0.453873174
3,2004-01-05,2012-08-31,2183,0.0936006439,0.212442324,0.444026194,0.64185366,-0.510360983,0.183400861,0.945962797,0.952557373,0.0454033496,0.0420711981,0.625,2008,-0.269874358,2009,0.236365413
4,2004-01-05,2012-08-31,2183,0.0776786596,0.217804235,0.371220695,0.530499191,-0.481466343,0.161337674,0.971310284,0.954032046,0.0294813654,0.0285921637,0.596153846,2008,-0.227026999,2009,0.231968902
5,2004-01-05,2012-08-31,2183,0.0676447374,0.222587106,0.326161706,0.458604332,-0.55258749,0.122414529,0.996905822,0.958136131,0.0194474432,0.0203379824,0.644230769,2008,-0.338819275,2006,0.22415601
6,2004-01-05,2012-08-31,2183,0.0759969018,0.221632418,0.361473352,0.517415515,-0.508329162,0.149503329,0.993777142,0.959265708,0.0277996076,0.0278509691,0.576923077,2008,-0.257323787,2006,0.219397004
7,2004-01-05,2012-08-31,2183,0.0897190435,0.216757592,0.423272381,0.606788031,-0.476699421,0.188208837,0.968477406,0.955833267,0.0415217493,0.0394869677,0.615384615,2008,-0.321116494,2009,0.491383106
8,2004-01-05,2012-08-31,2183,0.073102475,0.215941909,0.35285962,0.501479183,-0.511180111,0.143007276,0.967465388,0.958451407,0.0249051808,0.0239358816,0.605769231,2008,-0.301271519,2006,0.21120593
9,2004-01-05,2012-08-31,2183,0.0856346328,0.215484976,0.407149329,0.578857347,-0.499404633,0.171473445,0.961262035,0.954314364,0.0374373386,0.0354740709,0.586538462,2008,-0.320870968,2009,0.389974912
10,2004-01-05,2012-08-31,2183,0.0584586131,0.214883665,0.28966315,0.408247528,-0.518072301,0.112838716,0.954318111,0.950088497,0.0102613189,0.00998234526,0.615384615,2008,-0.28660632,2009,0.239260306
