name,family,dataset,scenario,benchmark,parameter,timing,data_quality,tradable_holdings_known,period,start,end,observations,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,beta,correlation,excess_cagr,annualized_mean_excess_vs_benchmark,monthly_positive_rate,worst_year,worst_year_return,best_year,best_year_return,annual_traded_notional,annual_one_way_equivalent_turnover,annual_transaction_cost_fraction,mean_invested_fraction,mean_holdings,completed_holding_spells,censored_open_spells,left_censored_spells,mean_completed_holding_months,assumed_annual_internal_drag
market_proxy,benchmark,French monthly,base,"French market, not SPY",all,static,EXPLORATORY,True,full,1964-01-31,2026-07-31,751,0.106925556,0.154493793,0.454354634,0.666001554,-0.503779472,0.21224675,1,1,0,0,0.625832224,2008,-0.367194224,1975,0.38190509,0,0,0,1,1,0,1,1,,
market_proxy,benchmark,French monthly,base,"French market, not SPY",all,static,EXPLORATORY,True,pre2000,1964-01-31,1999-12-31,432,0.124559461,0.152839565,0.442005025,0.652383246,-0.466011267,0.267288518,1,1,0,0,0.618055556,1974,-0.278771442,1975,0.38190509,0,0,0,1,1,0,1,1,,
market_proxy,benchmark,French monthly,base,"French market, not SPY",all,static,EXPLORATORY,True,2000_2007,2000-01-31,2007-12-31,96,0.0200431386,0.143408635,-0.0121740849,-0.0161533459,-0.451092168,0.0444324686,1,1,0,0,0.59375,2002,-0.212176362,2003,0.315612215,0,0,0,1,1,0,1,1,,
market_proxy,benchmark,French monthly,base,"French market, not SPY",all,static,EXPLORATORY,True,2008_2009,2008-01-31,2009-12-31,24,-0.0982513062,0.23856861,-0.347189586,-0.431669292,-0.477392637,-0.205808172,1,1,0,0,0.541666667,2008,-0.367194224,2009,0.284992548,0,0,0,1,1,0,1,1,,
market_proxy,benchmark,French monthly,base,"French market, not SPY",all,static,EXPLORATORY,True,2010_2019,2010-01-31,2019-12-31,120,0.134870884,0.129483917,1.00651627,1.64859682,-0.176920354,0.762325422,1,1,0,0,0.7,2018,-0.0512735143,2013,0.350178317,0,0,0,1,1,0,1,1,,
market_proxy,benchmark,French monthly,base,"French market, not SPY",all,static,EXPLORATORY,True,2020_onward,2020-01-31,2026-07-31,79,0.149007806,0.176252247,0.724180428,1.16418016,-0.249013056,0.598393546,1,1,0,0,0.620253165,2022,-0.199968772,2023,0.265645412,0,0,0,1,1,0,1,1,,
market_proxy,benchmark,French monthly,base,"French market, not SPY",all,static,EXPLORATORY,True,dotcom,2000-01-31,2002-12-31,36,-0.148563288,0.194636056,-0.915081496,-1.07391032,-0.451092168,-0.329341315,1,1,0,0,0.416666667,2002,-0.212176362,2001,-0.112901985,0,0,0,1,1,0,1,1,,
market_proxy,benchmark,French monthly,base,"French market, not SPY",all,static,EXPLORATORY,True,gfc,2008-01-31,2008-12-31,12,-0.367194224,0.217898002,-2.02947257,-1.85544723,-0.378148238,-0.971032488,1,1,0,0,0.333333333,2008,-0.367194224,2008,-0.367194224,0,0,0,1,1,0,1,1,,
market_proxy,benchmark,French monthly,base,"French market, not SPY",all,static,EXPLORATORY,True,rebound2009,2009-01-31,2009-12-31,12,0.284992548,0.221662911,1.2423032,2.08097846,-0.174142553,1.63654743,1,1,0,0,0.75,2009,0.284992548,2009,0.284992548,0,0,0,1,1,0,1,1,,
market_proxy,benchmark,French monthly,base,"French market, not SPY",all,static,EXPLORATORY,True,covid2020,2020-01-31,2020-12-31,12,0.239421268,0.275452244,0.892553202,1.52241233,-0.202293279,1.18353545,1,1,0,0,0.666666667,2020,0.239421268,2020,0.239421268,0,0,0,1,1,0,1,1,,
